"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.251009160E-1,0.000000000E0,-6.703764945E-2,1.003200436E1,1.003222834E1
5.271006490E-1,1.197100803E-2,-6.703764945E-2,1.001045704E1,1.001068866E1
5.291003820E-1,3.112462163E-2,-6.703764945E-2,9.933841705E0,9.934116660E0
5.311001150E-1,3.351882473E-2,-7.900865376E-2,9.833285332E0,9.833659863E0
5.330998480E-1,4.309562966E-2,-6.703764945E-2,9.806949615E0,9.807273425E0
5.350996480E-1,4.788403213E-2,-5.506663769E-2,9.749488831E0,9.749761929E0
5.370993810E-1,4.788403213E-2,-4.309562966E-2,9.708786964E0,9.709000692E0
5.390991140E-1,2.873042040E-2,-2.394201607E-2,9.608230591E0,9.608303375E0
5.410988470E-1,1.675941236E-2,-1.915361360E-2,9.529222488E0,9.529256475E0
5.430985800E-1,4.788403399E-3,-2.394201607E-2,9.526827812E0,9.526859100E0
5.450983130E-1,-7.182605099E-3,-3.112462163E-2,9.555558205E0,9.555611594E0
5.470980460E-1,-2.633621916E-2,-3.112462163E-2,9.634567261E0,9.634653530E0
5.490978460E-1,-3.112462163E-2,-3.351882473E-2,9.684844971E0,9.684952987E0
5.510976460E-1,-3.830722719E-2,-2.873042040E-2,9.756670952E0,9.756788454E0
5.530973790E-1,-4.070143029E-2,-4.070143029E-2,9.787796021E0,9.787965271E0
5.550971120E-1,-3.830722719E-2,-5.985504389E-2,9.871592522E0,9.871848306E0
5.570963450E-1,-2.394201607E-2,-5.985504389E-2,9.914688110E0,9.914897688E0
5.590960780E-1,-9.576806799E-3,-5.985504389E-2,9.917082787E0,9.917268038E0
5.610958110E-1,-1.197100803E-2,-4.309562966E-2,9.902717590E0,9.902818599E0
5.630955440E-1,-4.788403399E-3,-3.351882473E-2,9.893140793E0,9.893198734E0
5.650953440E-1,2.394201607E-2,-3.591302410E-2,9.840468407E0,9.840563065E0
5.670950770E-1,2.873042040E-2,-5.267243832E-2,9.799766541E0,9.799950208E0
5.690948100E-1,3.351882473E-2,-5.506663769E-2,9.797372818E0,9.797584906E0
5.710945430E-1,2.633621916E-2,-4.788403213E-2,9.814131737E0,9.814283887E0
5.730942760E-1,-2.394201700E-3,-3.830722719E-2,9.859622002E0,9.859696709E0
5.750940090E-1,-1.197100803E-2,-4.788403213E-2,9.871592522E0,9.871715915E0
5.770937420E-1,-2.394201607E-2,-5.027823523E-2,9.888352394E0,9.888509200E0
5.790934750E-1,-1.915361360E-2,-6.943184882E-2,9.866804123E0,9.867067003E0
5.810932750E-1,-2.394201700E-3,-7.661445439E-2,9.794978142E0,9.795278062E0
5.830930080E-1,7.182605099E-3,-7.422025502E-2,9.749488831E0,9.749773982E0
5.850927410E-1,9.576806799E-3,-7.661445439E-2,9.751882553E0,9.752188207E0
5.870924740E-1,-2.394201700E-3,-5.267243832E-2,9.766247749E0,9.766390081E0
5.890922070E-1,-1.915361360E-2,-2.873042040E-2,9.751882553E0,9.751943685E0
5.910919400E-1,-9.576806799E-3,-3.112462163E-2,9.730335236E0,9.730389728E0
5.930916730E-1,-1.675941236E-2,-4.548983276E-2,9.732728958E0,9.732849694E0
5.950914060E-1,-1.675941236E-2,-4.070143029E-2,9.754277229E0,9.754376543E0
