"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.988267020E-1,-6.224924326E-2,9.337386489E-2,9.794978142E0,9.795620983E0
2.008266020E-1,-4.788403213E-2,9.816227108E-2,9.794978142E0,9.795587043E0
2.028265020E-1,-4.309562966E-2,8.858546615E-2,9.799766541E0,9.800261673E0
2.048264020E-1,-5.027823523E-2,9.816227108E-2,9.797372818E0,9.797993563E0
2.068263020E-1,-4.309562966E-2,1.029506698E-1,9.792584419E0,9.793220394E0
2.088262350E-1,-3.830722719E-2,9.097966552E-2,9.790189743E0,9.790687409E0
2.108261010E-1,-3.591302410E-2,9.816227108E-2,9.797372818E0,9.797930379E0
2.128259670E-1,-4.309562966E-2,1.005564705E-1,9.790189743E0,9.790800991E0
2.148258330E-1,-4.788403213E-2,9.576806426E-2,9.787796021E0,9.788381651E0
2.168256990E-1,-4.070143029E-2,8.858546615E-2,9.785401344E0,9.785886953E0
2.188255650E-1,-3.830722719E-2,9.576806426E-2,9.794978142E0,9.795521209E0
2.208254310E-1,-3.112462163E-2,8.619125932E-2,9.794978142E0,9.795406805E0
2.228252970E-1,-3.112462163E-2,9.337386489E-2,9.792584419E0,9.793079037E0
2.248251630E-1,-4.309562966E-2,9.816227108E-2,9.785401344E0,9.785988582E0
2.268249630E-1,-4.788403213E-2,1.077390760E-1,9.783007622E0,9.783718042E0
2.288247630E-1,-5.027823523E-2,1.053448766E-1,9.790189743E0,9.790885591E0
2.308248630E-1,-5.027823523E-2,9.576806426E-2,9.792584419E0,9.793181762E0
2.328246630E-1,-4.309562966E-2,8.858546615E-2,9.790189743E0,9.790685360E0
2.348244630E-1,-4.788403213E-2,8.619125932E-2,9.785401344E0,9.785898083E0
2.368242630E-1,-4.788403213E-2,8.619125932E-2,9.778219223E0,9.778716326E0
2.388240630E-1,-4.070143029E-2,1.077390760E-1,9.792584419E0,9.793261659E0
2.408240290E-1,-2.873042040E-2,1.029506698E-1,9.790189743E0,9.790773181E0
2.428237620E-1,-2.633621916E-2,9.576806426E-2,9.787796021E0,9.788299957E0
2.448234950E-1,-4.548983276E-2,1.005564705E-1,9.787796021E0,9.788418252E0
2.468232280E-1,-4.309562966E-2,1.053448766E-1,9.787796021E0,9.788457780E0
2.488229610E-1,-3.830722719E-2,1.101332754E-1,9.799766541E0,9.800460246E0
2.508226940E-1,-3.830722719E-2,1.149216816E-1,9.802161217E0,9.802909719E0
2.528224270E-1,-4.548983276E-2,1.125274822E-1,9.802161217E0,9.802912643E0
2.548221600E-1,-4.548983276E-2,1.005564705E-1,9.783007622E0,9.783630157E0
2.568219600E-1,-3.351882473E-2,1.077390760E-1,9.799766541E0,9.800416087E0
2.588216930E-1,-5.267243832E-2,1.053448766E-1,9.804554939E0,9.805262336E0
2.608214260E-1,-4.548983276E-2,9.816227108E-2,9.806949615E0,9.807546376E0
2.628211590E-1,-4.309562966E-2,9.337386489E-2,9.806949615E0,9.807488806E0
2.648208920E-1,-2.633621916E-2,8.858546615E-2,9.799766541E0,9.800202306E0
2.668206250E-1,-3.830722719E-2,1.005564705E-1,9.790189743E0,9.790781085E0
2.688203580E-1,-4.309562966E-2,9.097966552E-2,9.785401344E0,9.785919170E0
2.708201580E-1,-5.027823523E-2,8.858546615E-2,9.780612946E0,9.781143332E0
2.728199580E-1,-5.746084079E-2,9.816227108E-2,9.771036148E0,9.771698163E0
2.748196910E-1,-5.506663769E-2,1.077390760E-1,9.780612946E0,9.781361338E0
2.768194240E-1,-3.591302410E-2,1.053448766E-1,9.783007622E0,9.783640704E0
2.788191570E-1,-4.070143029E-2,1.029506698E-1,9.775824547E0,9.776451351E0
2.808188900E-1,-4.309562966E-2,1.005564705E-1,9.787796021E0,9.788407418E0
2.828186230E-1,-5.267243832E-2,9.337386489E-2,9.790189743E0,9.790776694E0
2.848183560E-1,-5.267243832E-2,9.097966552E-2,9.787796021E0,9.788360569E0
2.868181560E-1,-3.351882473E-2,1.029506698E-1,9.768642426E0,9.769242406E0
2.888179560E-1,-2.873042040E-2,9.337386489E-2,9.768642426E0,9.769130921E0
2.908173890E-1,-2.873042040E-2,8.379705995E-2,9.783007622E0,9.783408686E0
2.928171220E-1,-3.112462163E-2,1.053448766E-1,9.794978142E0,9.795594065E0
2.948168550E-1,-3.112462163E-2,1.053448766E-1,9.792584419E0,9.793200493E0
2.968165880E-1,-4.070143029E-2,9.816227108E-2,9.794978142E0,9.795554565E0
2.988163210E-1,-3.830722719E-2,1.053448766E-1,9.780612946E0,9.781255266E0
3.008167870E-1,-4.070143029E-2,1.029506698E-1,9.787796021E0,9.788422058E0
3.028165870E-1,-5.267243832E-2,1.077390760E-1,9.780612946E0,9.781348153E0
3.048163200E-1,-4.788403213E-2,1.053448766E-1,9.787796021E0,9.788480033E0
3.068160530E-1,-3.112462163E-2,1.053448766E-1,9.804554939E0,9.805170261E0
3.088157860E-1,-3.112462163E-2,1.125274822E-1,9.787796021E0,9.788492331E0
3.108155190E-1,-3.591302410E-2,1.149216816E-1,9.790189743E0,9.790930086E0
3.128148190E-1,-3.830722719E-2,8.619125932E-2,9.783007622E0,9.783462296E0
3.148145520E-1,-4.548983276E-2,8.140286058E-2,9.783007622E0,9.783452043E0
3.168142850E-1,-4.548983276E-2,1.053448766E-1,9.785401344E0,9.786074102E0
3.188140850E-1,-3.830722719E-2,1.077390760E-1,9.792584419E0,9.793252001E0
3.208138180E-1,-4.309562966E-2,1.125274822E-1,9.790189743E0,9.790931257E0
3.228135510E-1,-3.351882473E-2,1.005564705E-1,9.799766541E0,9.800339758E0
3.248132840E-1,-3.591302410E-2,1.029506698E-1,9.790189743E0,9.790796893E0
3.268130170E-1,-3.830722719E-2,1.005564705E-1,9.780612946E0,9.781204866E0
3.288127500E-1,-4.070143029E-2,1.149216816E-1,9.773430824E0,9.774191203E0
3.308124830E-1,-3.351882473E-2,1.149216816E-1,9.778219223E0,9.778951972E0
3.328122160E-1,-2.633621916E-2,9.816227108E-2,9.778219223E0,9.778747394E0
3.348120160E-1,-1.675941236E-2,9.097966552E-2,9.790189743E0,9.790626813E0
3.368117490E-1,-2.154781483E-2,9.337386489E-2,9.790189743E0,9.790658721E0
3.388114820E-1,-3.591302410E-2,9.816227108E-2,9.794978142E0,9.795535839E0
3.408112150E-1,-3.351882473E-2,1.005564705E-1,9.802161217E0,9.802734294E0
